Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
759,35,male,2,own,little,little,691,12,car,bad
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
763,30,male,3,free,,,12680,21,car,bad
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad
771,25,female,3,own,little,little,8065,36,education,bad
775,25,female,2,rent,,little,1371,24,car,bad
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad
783,23,female,1,own,moderate,moderate,836,12,car,bad
788,50,male,2,free,little,moderate,6224,48,education,bad
789,27,male,2,own,little,little,5998,40,education,bad
790,39,female,2,own,little,moderate,1188,21,business,bad
796,51,male,2,free,,little,7511,18,car,bad
805,24,male,2,own,little,little,9271,36,car,bad
809,26,female,0,rent,little,moderate,1778,15,car,bad
812,24,male,2,own,little,little,9629,36,car,bad
813,54,male,2,own,little,little,3051,48,domestic appliances,bad
814,46,male,2,free,little,little,3931,48,car,bad
819,26,male,2,own,little,little,1345,18,radio/TV,bad
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
826,33,female,2,rent,little,little,3966,18,car,bad
827,36,male,2,own,little,,4165,18,business,bad
828,47,male,2,free,,little,8335,36,car,bad
831,23,female,2,rent,little,little,1216,18,car,bad
832,29,male,2,rent,little,little,11816,45,business,bad
834,25,female,1,own,little,rich,2327,15,radio/TV,bad
835,48,male,2,own,little,little,1082,12,car,bad
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
842,23,female,2,own,little,,1943,18,repairs,bad
846,68,male,2,rent,,,6761,18,car,bad
849,57,male,1,own,little,little,709,12,radio/TV,bad
850,33,male,2,rent,little,little,2235,20,car,bad
853,32,male,1,free,little,little,1442,18,car,bad
858,29,female,2,own,little,little,3959,15,car,bad
861,28,male,2,own,little,,2169,18,business,bad
862,35,female,2,own,little,little,2439,24,radio/TV,bad
864,25,male,1,rent,little,,2210,10,furniture/equipment,bad
878,27,male,3,free,little,little,1422,9,car,bad
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
885,53,female,2,own,little,little,795,12,education,bad
887,23,male,2,own,little,moderate,15672,48,business,bad
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad
900,43,male,2,rent,little,little,2625,16,car,bad
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
914,31,male,2,rent,little,little,3161,24,business,bad
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
917,68,male,3,own,little,little,14896,6,car,bad
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
922,22,female,2,rent,little,little,1366,9,radio/TV,bad
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
925,46,male,2,own,little,little,697,12,car,bad
927,39,male,2,free,little,little,10297,48,car,bad
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
936,28,female,1,own,little,rich,745,9,radio/TV,bad
938,42,male,2,free,little,moderate,6288,60,education,bad
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
948,43,male,1,own,little,,1533,18,furniture/equipment,bad
949,31,male,2,own,moderate,,3621,24,radio/TV,bad
951,24,male,2,own,little,little,2145,36,business,bad
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad
953,26,female,3,own,little,,10974,36,furniture/equipment,bad
958,45,male,1,own,little,little,4006,28,car,bad
963,35,male,2,own,quite rich,,2397,24,radio/TV,bad
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
972,29,female,0,rent,little,little,1193,24,car,bad
973,36,male,2,rent,little,little,7297,60,business,bad
978,47,male,1,own,little,,2538,24,car,bad
979,25,male,2,rent,moderate,moderate,1264,15,car,bad
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
981,33,male,3,rent,little,,4844,48,business,bad
983,26,male,2,own,little,little,8229,36,car,bad
998,23,male,2,free,little,little,1845,45,radio/TV,bad
